###ÄNSI
EVTNAME_SoA_570;Yud Tes Kislev;;;;;;;;;x
EVTDESC_SoA_570;Today is the day the Alter Rebbe was released from prison after arrest from the Russian authorities.\nIt is a day of celebration for all Jews who follow the Rebbe! Farbregens are held for days to celebrate the release of the Alter Rebbe.;;;;;;;;;;;;x
EVTOPTA_SoA_570;Yechi Adoneinu Moreinu V'Rabbeinu!;;;;;;;;;x
EVTNAME_SoA_571;Yud Tes Kislev Invitation;;;;;;;;;x
EVTDESC_SoA_571;At a time of great conflict in the Jewish world, the Alter Rebbe was accused and imprisoned for treason. It is this day we mark his liberation from prison with a farbregen.;;;;;;;;;;;;x
EVTOPTA_SoA_571;Yechi Adoneinu Moreinu V'Rabbeinu!;;;;;;;;;x
EVTOPTB_SoA_571;I cannot attend;;;;;;;;;x
EVTTOOLTIP_SoA_571;is invited to a farbregen;;;;;;;;;x
EVTNAME_SoA_572;Invitation Refused!;;;;;;;;;x
EVTDESC_SoA_572;Your invitation to a farbregen was refused!;;;;;;;;;;;;x
EVTOPTA_SoA_572;Disappointing.;;;;;;;;;x
EVTNAME_SoA_573;Yud Tes Kislev;;;;;;;;;x
EVTDESC_SoA_573;The Farbregen is large and lasts for days, niggunim are sung into the night, and Tanya is recited for hours.\n;;;;;;;;;;;;x
EVTOPTA_SoA_573;Yechi Adoneinu Moreinu V'Rabbeinu L'olam Va'ed!;;;;;;;;;x
EVTNAME_SoA_574;Yud Tes Kislev;;;;;;;;;x
EVTDESC_SoA_574;The Farbregen has ended, and everyone has returned back to their estates.;;;;;;;;;;;;x
EVTOPTB_SoA_574;Yechi!;;;;;;;;;x
opinion_yudtes;Attended Farbrengen;;;;;;;;;x
opinion_refused_yudtes;Refused to Farbreng;;;;;;;;;x
yudtes_invitations_sent;Invitations to farbreng are sent;;;;;;;;;x
celebrate_yudtes;Celebrate Yud Tes Kislev;;;;;;;;x
celebrate_yudtes_desc;Yud-Tes Kislev is the celebration of the liberation of the Alter Rebbe from imprisonment at the hands of the Russians. Celebrate a Farbregen with your vassals to mark the day!;;;;;;;;x

avrach;Avrach;;;;;;;;;;;;;x
avrach_desc;This character has began a period of intense study of the Talmud at a prominent yeshiva;;;;;;;;;;;;;x
hakham;Hakham;;;;;;;;;;;;;x
hakham_desc;This character is considered an especially learned scholar of Talmud and Halakha.;;;;;;;;;;;;;x
maskil;Maskil;;;;;;;;;;;;;x
maskil_desc;While not especially distinguished, this character has a well-rounded knowledge of Talmud and Halakha.;;;;;;;;;;;;;x

bar_mitzvah;Prepare Grand Bar Mitzvah;;;;;;;;;;;;;x
bar_mitzvah_named;Prepare Grand Bar Mitzvah;;;;;;;;;;;;;x
bar_mitzvah_desc;As your child is soon of age you can choose to hold an extravagant Bar Mitzvah for [Root.GetHerHim], inviting your vassals and the members of your court. This can help build trust that will certainly prove useful for the child in the future.;;;;;;;;;;;;;x
bar_mitzvah_custom_tooltip;Send out the invitations.;;;;;;;;;;;;;x

attend_yeshiva;Attend Yeshiva;;;;;;;;;;;;;x
attend_yeshiva_desc;Begin your journey as a student of Talmud and Torah by attending a prominent Yeshiva in the region.;;;;;;;;;;;;;x

#Bar Mitzvah Localizations ;;;;;;;;;;;;;;
EVTDESC_barmitzvah_1;The day of [bar_mitzvah_target.GetBestName]'s Bar Mitzvah is soon approaching, and excitement builds in the palace. Your Rabbi [Root.job_spiritual.GetBestName] has offered to personally prepare [bar_mitzvah_target.GetHerHim] in the final month, to read from the Torah and give a D'var Torah as well.;;;;;;;;;;;;;x
EVTOPTA_barmitzvah_1;[Root.job_spiritual.GetBestName] will prepare my [bar_mitzvah_target.GetSonDaughter].;;;;;;;;;;;;;x
EVTOPTB_barmitzvah_1;I can prepare [bar_mitzvah_target.GetBestName] for the Bar Mitzvah myself!;;;;;;;;;;;;;x
EVTOPTC_barmitzvah_1;[bar_mitzvah_target.GetBestName] can figure it out on [bar_mitzvah_target.GetHerHis] own.;;;;;;;;;;;;;x
EVTDES1_barmitzvah_2;The day has arrived. At your family's synagogue [bar_mitzvah_target.GetBestName] approaches the bimah brimming with a regal confidence. [bar_mitzvah_target.GetSheHeCap] reads [bar_mitzvah_target.GetHerHis] Torah portion effortlessly, followed by a D'var Torah on the portion that impresses even the most cynical of your vassals.;;;;;;;;;;;;;x
EVTDES2_barmitzvah_2;The day has arrived. At your family's synagogue [bar_mitzvah_target.GetBestName] approaches the bimah shaking nervously. [bar_mitzvah_target.GetSheHeCap] stumbles [bar_mitzvah_target.GetHerHis] way through the passage, constantly stopping for corrections from the gabbai. Your vassals cringe in pity as [bar_mitzvah_target.GetFirstName] attempts to deliver a clumsy D'var Torah clearly written the night before.;;;;;;;;;;;;;x
EVTOPTA_barmitzvah_2;I'm so proud!;;;;;;;;;;;;;x
EVTOPTB_barmitzvah_2;That fool!;;;;;;;;;;;;;x
